sep=,
AFV[Project Number],AFV[Project Name],AFV[Client],AFV[Probability],AFV[Business],AFV[Discipline],AFV[Business Code],AFV[Discipline Code],AFV[Next Sequence Number],AFV[Work Order Name],AFV[Work Order Type],AFV[Internal/External],AFV[Original Scope / Change],AFV[Start Date],AFV[End Date],AFV[InoEngineering AFV Revenue],AFV[InoSurveying AFV Revenue],AFV[Project Key],AFV[Work Order Title],AFV[Initial Value],AFV[Order Value],AFV[Cumulative Value],AFV[Value to Complete],AFV[Cost to Date],AFV[Manual Cost Adjustment],AFV[Anticipated Final Cost (EV)],AFV[Forecast Profit],AFV[Profit Margin],AFV[Link]
342,Newcastle Gateshead Crack Monitoring,AMCO,1,InoSurveying,Surveying Change,2,9,2,342-AMCO-29002-CRQ002_300mm_Crack_Sensor,Fixed Fee,Internal,Change,03/06/2025,31/12/2025,0,0,342,CRQ002_300mm_Crack_Sensor,298.65,298.65,298.65,0,0,0,0,298.65,1,https://inorail.sharepoint.com/sites/InoRailLtdProjectDrive/Shared Documents/RO-P-0342 Newcastle Gateshead Crack Monitoring/Commercial/00_AFV/0342_Project_Dashboard.xlsx
342,Newcastle Gateshead Crack Monitoring,AMCO,1,InoSurveying,Surveying Change,2,9,3,342-AMCO-29003-CRQ003_Monitoring_Extension,Fixed Fee,Internal,Change,03/06/2025,31/12/2025,0,0,342,CRQ003_Monitoring_Extension,2949.9,2949.9,2949.9,0,0,0,0,2949.9,1,https://inorail.sharepoint.com/sites/InoRailLtdProjectDrive/Shared Documents/RO-P-0342 Newcastle Gateshead Crack Monitoring/Commercial/00_AFV/0342_Project_Dashboard.xlsx
396,W3 UTX Monitoring,BAM,1,InoSurveying,Surveying Change,2,9,28,396-BAM-29028-CRQ028_Diggle_UTX,Fixed Fee,Internal,Change,20/08/2025,31/12/2025,0,0,396,CRQ028_Diggle_UTX,24750,24750,24750,0,0,0,0,24750,1,https://inorail.sharepoint.com/sites/InoRailLtdProjectDrive/Shared Documents/RO-P-0396 - BAM Nuttall - W3 UTX Monitoring/Commercial/00_AFC/0396_Project_Dashboard.xlsx
396,W3 UTX Monitoring,BAM,1,InoSurveying,Surveying Change,2,9,27,396-BAM-29027-CRQ027_Springwood_UTX_PEH,Fixed Fee,Internal,Change,20/08/2025,31/12/2025,0,0,396,CRQ027_Springwood_UTX_PEH,20533,20533,20533,0,0,0,0,20533,1,https://inorail.sharepoint.com/sites/InoRailLtdProjectDrive/Shared Documents/RO-P-0396 - BAM Nuttall - W3 UTX Monitoring/Commercial/00_AFC/0396_Project_Dashboard.xlsx
396,W3 UTX Monitoring,BAM,1,InoSurveying,Surveying Change,2,9,26,396-BAM-29026-CRQ026_Huddersfield_Station_Riser_Wall_Monitoring,Fixed Fee,Internal,Change,20/08/2025,31/12/2025,0,0,396,CRQ026_Huddersfield_Station_Riser_Wall_Monitoring,3167,3167,3167,0,0,0,0,3167,1,https://inorail.sharepoint.com/sites/InoRailLtdProjectDrive/Shared Documents/RO-P-0396 - BAM Nuttall - W3 UTX Monitoring/Commercial/00_AFC/0396_Project_Dashboard.xlsx
396,W3 UTX Monitoring,BAM,1,InoSurveying,Surveying Change,2,9,24,396-BAM-29024-CRQ024_Huddersfiled_UTX,Fixed Fee,Internal,Change,20/08/2025,31/12/2025,0,0,396,CRQ024_Huddersfiled_UTX,1710,1710,1710,0,0,0,0,1710,1,https://inorail.sharepoint.com/sites/InoRailLtdProjectDrive/Shared Documents/RO-P-0396 - BAM Nuttall - W3 UTX Monitoring/Commercial/00_AFC/0396_Project_Dashboard.xlsx
396,W3 UTX Monitoring,BAM,1,InoSurveying,Surveying Change,2,9,4,396-BAM-29004-CRQ004_Huddersfield_UTX_Cancelled_Shifts,Fixed Fee,Internal,Change,20/08/2025,31/12/2025,0,0,396,CRQ004_Huddersfield_UTX_Cancelled_Shifts,1710,1710,1710,0,0,0,0,1710,1,https://inorail.sharepoint.com/sites/InoRailLtdProjectDrive/Shared Documents/RO-P-0396 - BAM Nuttall - W3 UTX Monitoring/Commercial/00_AFC/0396_Project_Dashboard.xlsx
396,W3 UTX Monitoring,BAM,1,InoSurveying,Surveying Change,2,9,3,396-BAM-29003-CRQ003_Springwood_UTX_Additioal_Hire,Fixed Fee,Internal,Change,20/08/2025,31/12/2025,0,0,396,CRQ003_Springwood_UTX_Additioal_Hire,5283,5283,5283,0,0,0,0,5283,1,https://inorail.sharepoint.com/sites/InoRailLtdProjectDrive/Shared Documents/RO-P-0396 - BAM Nuttall - W3 UTX Monitoring/Commercial/00_AFC/0396_Project_Dashboard.xlsx
396,W3 UTX Monitoring,BAM,1,InoSurveying,Surveying Change,2,9,2,396-BAM-29002-CRQ002_Springwood_UTX_Additional_Hire,Fixed Fee,Internal,Change,20/08/2025,31/12/2025,0,0,396,CRQ002_Springwood_UTX_Additional_Hire,5283,5283,5283,0,0,0,0,5283,1,https://inorail.sharepoint.com/sites/InoRailLtdProjectDrive/Shared Documents/RO-P-0396 - BAM Nuttall - W3 UTX Monitoring/Commercial/00_AFC/0396_Project_Dashboard.xlsx
396,W3 UTX Monitoring,BAM,1,InoSurveying,Surveying Change,2,9,1,396-BAM-29001-CRQ001_Mirfield_UTX_Abortive_Shift,Fixed Fee,Internal,Change,20/08/2025,31/12/2025,0,0,396,CRQ001_Mirfield_UTX_Abortive_Shift,595,595,595,0,0,0,0,595,1,https://inorail.sharepoint.com/sites/InoRailLtdProjectDrive/Shared Documents/RO-P-0396 - BAM Nuttall - W3 UTX Monitoring/Commercial/00_AFC/0396_Project_Dashboard.xlsx
396,W3 UTX Monitoring,BAM,1,InoSurveying,Surveying Change,2,9,5,396-BAM-29005-CRQ005_Mirefield_UTX_Cancelled_Shift,Fixed Fee,Internal,Change,20/08/2025,31/12/2025,0,0,396,CRQ005_Mirefield_UTX_Cancelled_Shift,1710,1710,1710,0,0,0,0,1710,1,https://inorail.sharepoint.com/sites/InoRailLtdProjectDrive/Shared Documents/RO-P-0396 - BAM Nuttall - W3 UTX Monitoring/Commercial/00_AFC/0396_Project_Dashboard.xlsx
396,W3 UTX Monitoring,BAM,1,InoSurveying,Surveying Change,2,9,25,396-BAM-29025-CRQ025_3x_Post_Monitoring_Shifts,Fixed Fee,Internal,Change,20/08/2025,31/12/2025,0,0,396,CRQ025_3x_Post_Monitoring_Shifts,1710,1710,1710,0,0,0,0,1710,1,https://inorail.sharepoint.com/sites/InoRailLtdProjectDrive/Shared Documents/RO-P-0396 - BAM Nuttall - W3 UTX Monitoring/Commercial/00_AFC/0396_Project_Dashboard.xlsx
396,W3 UTX Monitoring,BAM,1,InoSurveying,Surveying Change,2,9,6,396-BAM-29006-CRQ006_Huddersfield_Stn_Cancelled_UTX,Fixed Fee,Internal,Change,20/08/2025,31/12/2025,0,0,396,CRQ006_Huddersfield_Stn_Cancelled_UTX,1190,1190,1190,0,0,0,0,1190,1,https://inorail.sharepoint.com/sites/InoRailLtdProjectDrive/Shared Documents/RO-P-0396 - BAM Nuttall - W3 UTX Monitoring/Commercial/00_AFC/0396_Project_Dashboard.xlsx
