sep=,
project_log_link,type,client,site_name,project_no,shift_start_date,shift_start_day,night_or_day_shift,week_no,leave_place_of_rest,arrive_place_of_rest,total_travel_time,arrive_on_site,leave_site,total_site_time,time_lost,time_lost_2,time_lost_3,time_lost_4,inorail_staff,elr,postcode,miles_from,yards_from,miles_to,yards_to,total_yardage,was_shift_cancelled,staff_attended_count,subcontractors_attended_count,survey_grid,fiscal_week,fiscal_month,fiscal_quarter,fiscal_year,calendar_week,calendar_month,calendar_year
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/240289_Monitoring_Brook_Bridge_25-10-20_W30_Monday_Day_PP.xlsm,Monitoring,AMCO,Brook Bridge,240289,10/20/2025,Monday,Day,30,05:20:00,14:45:00,05:55:00,08:00:00,11:30:00,03:30:00,00:00:00,00:00:00,00:00:00,00:00:00,Plinio Piccin,,,,,,,,No,1,0,TBC,30,7,3,2026,43,October,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/250311_SI-GI_Smithy_Bridge_Subway_25-09-24_W26_Wednesday_Day_MM.xlsm,SI-GI,AMCO,Smithy Bridge Subway,250311,09/24/2025,Wednesday,Day,26,11:00:00,17:00:00,05:00:00,14:00:00,15:00:00,01:00:00,00:00:00,00:00:00,00:00:00,00:00:00,M McAvoy,,,,,,,,No,1,0,TBC,26,6,2,2026,39,September,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/250290_SI-GI_Trial_Holes_25-09-23_W26_Tuesday_Day_JJ.xlsm,SI-GI,Aaron Rail,Trial Holes,250290,09/23/2025,Tuesday,Day,26,05:00:00,15:15:00,04:00:00,06:50:00,13:05:00,06:15:00,00:00:00,00:00:00,00:00:00,00:00:00,Josh Jackson,,,,,,,,No,1,8,TBC,26,6,2,2026,39,September,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/250108_Monitoring_W2B_Track_Monitoring_25-09-19_W25_Friday_Day_PS.xlsm,Monitoring,Kier,W2B Track Monitoring,250108,09/19/2025,Friday,Day,25,07:15:00,11:30:00,02:00:00,08:00:00,10:15:00,02:15:00,00:00:00,00:00:00,00:00:00,00:00:00,P Serwinski,,,,,,,,No,1,1,TBC,25,6,2,2026,38,September,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/250108_Monitoring_W2B_Track_Monitoring_25-09-18_W25_Thursday_Day_PS.xlsm,Monitoring,Kier,W2B Track Monitoring,250108,09/18/2025,Thursday,Day,25,07:15:00,11:30:00,02:00:00,08:00:00,10:15:00,02:15:00,00:00:00,00:00:00,00:00:00,00:00:00,P Serwinski,,,,,,,,No,1,1,TBC,25,6,2,2026,38,September,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/250108_Monitoring_W2B_Track_Monitoring_25-09-17_W25_Wednesday_Day_PS.xlsm,Monitoring,Kier,W2B Track Monitoring,250108,09/17/2025,Wednesday,Day,25,07:15:00,11:30:00,01:45:00,08:00:00,10:30:00,02:30:00,00:00:00,00:00:00,00:00:00,00:00:00,P Serwinski,,,,,,,,No,1,1,TBC,25,6,2,2026,38,September,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/250108_Monitoring_W2B_Monitoring_25-09-15_W25_Monday_Day_PS.xlsm,Monitoring,Kier,W2B Monitoring,250108,09/15/2025,Monday,Day,25,00:00:00,00:00:00,21:30:00,08:00:00,10:30:00,02:30:00,00:00:00,00:00:00,00:00:00,00:00:00,P Serwinski,,,,,,,,No,1,1,TBC,25,6,2,2026,38,September,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/250108_Monitoring_W2B_BASELINE_SURVEY_25-09-15_W25_Monday_Night_PS.xlsm,Monitoring,Kier,W2B BASELINE SURVEY,250108,09/15/2025,Monday,Night,25,14:45:00,19:30:00,01:45:00,15:30:00,18:30:00,03:00:00,00:00:00,00:00:00,00:00:00,00:00:00,P Serwinski,,,,,,,,No,1,1,TBC,25,6,2,2026,38,September,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/240259_SI-GI_MMR_-_Midland_Retail_Rooms_25-09-12_W24_Friday_Day_AL.xlsm,SI-GI,Octavius,MMR - Midland Retail Rooms,240259,09/12/2025,Friday,Day,24,07:30:00,17:30:00,05:30:00,08:00:00,12:30:00,04:30:00,00:00:00,00:00:00,00:00:00,00:00:00,Alex Lima,,,,,,,,No,1,3,TBC,24,6,2,2026,37,September,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/240259_SI-GI_MMR_-_Midland_Retail_Rooms_25-09-09_W24_Tuesday_Day_AL.xlsm,SI-GI,Octavius,MMR - Midland Retail Rooms,240259,09/09/2025,Tuesday,Day,24,07:30:00,16:00:00,01:00:00,08:00:00,15:30:00,07:30:00,00:00:00,00:00:00,00:00:00,00:00:00,Alex Lima,,,,,,,,No,1,3,TBC,24,6,2,2026,37,September,2025
